,text,negative&positive,depression
2143,rt jamesreader_rp syrias anne frank just trolled donaldtrump following horrific chemicalattacks shaming us all video gtgthttpst,[ 0.89185274  0.10814723],negative
2144,rt thearabsource syrian army officially denies chemical weapons attack in southern idlib httpstcowvwjcntzum syria,[ 0.89185274  0.10814723],negative
2145,what a worthless sec of state hes turned out to be tillerson syriachemicalattack syria syriagasattack httpstcom1d146bxfd,[ 0.40217167  0.59782839],positive
2146,"un
hrw 
usabilaraby 
thats what criminal assad did
u r aifing him
httpstcogu8iblsycg
chemical_assad
syria httpstcohtdnwaqf4k",[ 0.25405297  0.74594706],positive
2147,rt pdacosta did the trump administration just accept syrias assad regime as a fait accompli on the same day as said regime committed a,[ 0.89185274  0.10814723],negative
2148,"breaking

democrats are liars

maga syriachemicalattack syria httpstcoc60dqfk8fn",[ 0.56579667  0.43420336],negative
2149,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
2150,rt zlando everyone is surprised that the un does nothing about syria arabs have rendered the un helpless unless bashing israel get i,[ 0.89185274  0.10814723],negative
2151,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2152,rt jennanjack uk breaks with trump no future for assad  httpstcohvxea5swrz syria,[ 0.89185274  0.10814723],negative
2153,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2154,rt cololucody may god forgive us all im shaken to my soul syria theyarebabies,[ 0.89185274  0.10814723],negative
2155,rt mba_althani_ pleased to meet federicamog in brussels today discussed agenda of syriaconf2017 and recent developments in syria ht,[ 0.89185274  0.10814723],negative
2156,rt conflicts afp video very graphic aftermath of chemical weapon attack today in khan sheikhun syria today at least 58 killed ht,[ 0.89185274  0.10814723],negative
2157,"rt sahouraxo there are major holes in the idlib sarin gas attack story 

dont believe the mainstream medias narrative syria faken",[ 0.89185274  0.10814723],negative
2158,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2159,if russia has moral responsibility for everything that goes wrong in syria i wonder who bearsmoral responsibi httpstcoqf1hlicxtz,[ 0.39086604  0.60913396],positive
2160,rt zlando everyone is surprised that the un does nothing about syria arabs have rendered the un helpless unless bashing israel get i,[ 0.89185274  0.10814723],negative
2161,rt simadiab name the perpetrators syria httpstcosamlqkla3g,[ 0.89185274  0.10814723],negative
2162,rt kon__k follow sophiemcneill for the latest on chemical weapons being used on people of syria a war crime yes graphic but we cant,[ 0.89185274  0.10814723],negative
2163,rt preemptivelove were going live on fb in 10 min to talk about todays alleged chemical attack in syria and how were responding http,[ 0.89185274  0.10814723],negative
2164,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2165,rt naplesresists sos nikkihaley we beg you be a voice for syrian babies speak up again chemicalattacks idlib httpstcodqhq1st,[ 0.89185274  0.10814723],negative
2166,rt nia4_trump death toll in syria now reportedly over 100 in 2013 the us backed rebels used sarin gas as a falseflag in attempt to,[ 0.89185274  0.10814723],negative
2167,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2168,rt jaketapper the time i asked obama if he ever second guessed his inaction in syria httpstco7ayp93zffz,[ 0.89185274  0.10814723],negative
2169,"rt russ_warrior lavrov cynical and vile for media to call stpetersburg bombing revenge for actions in syria
httpstcotn1ty3a3bm",[ 0.89185274  0.10814723],negative
2170,rt amyalaporte president donald trumps statement on syria sarinattack slams obamas inaction on red line but offers no clarity on fu,[ 0.89185274  0.10814723],negative
2171,"rt free_media_hub chemical attack in syria draws international outrage un to investigate war crimes after scores murdered 
httpstc",[ 0.89185274  0.10814723],negative
2172,rt donegalh scores reported killed in sarin gas attack by assad forces on rebelheld town in syria httpstcoewddeqi7kc via reuters,[ 0.89185274  0.10814723],negative
2173,"trump  obama  war crimes
crimesonhumanity
yemen syria irak httpstcoigpwweiz7l",[ 0.08062018  0.91937983],positive
2174,breaking natogcc backed terrorists warehouse w chemical weapons hit by syrian airstrike in idlib  russia httpstconjn2fomyyk,[ 0.56579667  0.43420336],negative
2175,rt mba_althani_ arrived in brussels big day tomorrow as qatar cochairs intl meeting on syria we continue to strive for ceasefire amp,[ 0.89185274  0.10814723],negative
2176,rt jonathandhoff i implore the world community to stand up to assad and end his devastating regime syria syriagasattack,[ 0.89185274  0.10814723],negative
2177,"rt maytham956 terrorist mohammed alloush is not a gas expert he is just one of the participants in the crime
idlib syria httpstco",[ 0.89185274  0.10814723],negative
2178,"rt slmhktn rt please russias assad kills innocent children with chemical weapons
idlib iran assad syria russia us un httpst",[ 0.89185274  0.10814723],negative
2179,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2180,whos in first100 syria russianhacking wiretap trump httpstcoqg9ev9ivnh,[ 0.40217167  0.59782839],positive
2181,rt cijainfo horrified by news of gas attack against civilians in syria we pray for the victims amp families and wish for peace for the sy,[ 0.89185274  0.10814723],negative
2182,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2183,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2184,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2185,rt harrisfaulkner pray syria humanity is calling redline httpstcoqvxd9jc3py,[ 0.89185274  0.10814723],negative
2186,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2187,rt i24news_en the un has been a disappointment and useless on syria maxabrahms tells michellemakori syriagasattack httpstcod,[ 0.89185274  0.10814723],negative
2188,rt ocha_syria read unreliefchief message at syriaconf2017 on humanitarian situation in syria needs challenges amp way forward https,[ 0.89185274  0.10814723],negative
2189,"nobody puts prayforsyria   because its not europe
ok my  is with for the people of syria    httpstcohhjuy9sje0",[ 0.54292786  0.4570722 ],negative
2190,the world is such a fucked up place when something like that can happen syria     ,[ 0.08062018  0.91937983],positive
2191,idlib province  shayrat airbase su 22s bases on syria httpstco9mupoyeolq t4 airbase httpstcozuqkt1rieb,[ 0.39086604  0.60913396],positive
2192,"thread
idlibattack idlib khansheikhoun syriachemicalattack syriagasattack syria httpstcoo4a4xzzcaj",[ 0.08062018  0.91937983],positive
2193,jesus help us all become better people syria,[ 0.81978178  0.18021825],negative
2194,rt georgewgraham words fail the unsc must establish an independent investigation tomorrow for idlib for syria and for all the confl,[ 0.89185274  0.10814723],negative
2195,rt qalaatalmudiq syria impact crater from chemicalattack by syaf on khan sheikhoun geolocated here by obretix httpstco6lofitza,[ 0.89185274  0.10814723],negative
2196,rt unrwa why should you care about palestine refugees in syria these are just a few reasons why futureofsyria syriaconf2017 voice,[ 0.89185274  0.10814723],negative
2197,rt gebeilym afp there would be no coverage of nearlyincomprehensible level of human suffering in syria if it werent for local report,[ 0.89185274  0.10814723],negative
2198,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2199,"rt sahouraxo there are major holes in the idlib sarin gas attack story 

dont believe the mainstream medias narrative syria faken",[ 0.89185274  0.10814723],negative
2200,syria northkorea russia nuclearoption nepotism xenophobia refugees im very gravely concerned about the direction of this country,[ 0.36721578  0.63278425],positive
2201,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2202,rt statedept statement from potus on todays chemical attack in syria httpstcoekbniktmza,[ 0.89185274  0.10814723],negative
2203,rt fannicanelles children killed by gassing in syria the testimony of auxilia assad putin trump syria idlib httpstco3jsmxvlr,[ 0.89185274  0.10814723],negative
2204,"rt hanifjwilliams the outrage for syria is understandable and warranted  but where were you all for somalia  
     ",[ 0.89185274  0.10814723],negative
2205,rt snarwani isis stole sarin gas from libya stores amp has already used it httpstcoewwamm1yfz syria,[ 0.89185274  0.10814723],negative
2206,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2207,"assad to the hague 
petition click to add your name httpstconepbqtfchj syria httpstcocqqjwjs1cr",[ 0.37677622  0.62322378],positive
2208,rt lesleyabravanel instead of showing trumps vile bloated face show people whats going on in syria its a travesty,[ 0.89185274  0.10814723],negative
2209,rt 4freedominiran the situation is horrendousespecially because there is a shortage of oxygen generatorssyria _  iranoutofs,[ 0.89185274  0.10814723],negative
2210,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2211,"rt leahmcelrath this thread is important

trigger warning photos of dead children video of suffering 

syria chemicalweapons https",[ 0.89185274  0.10814723],negative
2212,rt preemptivelove were going live on fb in 10 min to talk about todays alleged chemical attack in syria and how were responding http,[ 0.89185274  0.10814723],negative
2213,rt ea_worldview syria update local doctor treating victims  100 dead in assad chemical attacks today httpstcokdzxkxnjdu https,[ 0.89185274  0.10814723],negative
2214,who is responsible in syria syria syriachemicalattack syriagasattack syrian,[ 0.40217167  0.59782839],positive
2215,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2216,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2217,"rt maytham956 terrorist mohammed alloush is not a gas expert he is just one of the participants in the crime
idlib syria httpstco",[ 0.89185274  0.10814723],negative
2218,rt mba_althani_ pleased to meet federicamog in brussels today discussed agenda of syriaconf2017 and recent developments in syria ht,[ 0.89185274  0.10814723],negative
2219,roguecpi va4hillary1 aww tough neverhappen presidenttrump 8 years thefive syria pepsi libertybridge,[ 0.89185274  0.10814723],negative
2220,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2221,"rt boajeanwhite democracynow top u s and world headlines syria russia nuclearoption iraq blacklivesmatter 
httpstcon9v2pyzjy1",[ 0.89185274  0.10814723],negative
2222,rt jennifermaccani my heart is heavy for syria today i know its easy to look away please dont some resources if you want to help h,[ 0.89185274  0.10814723],negative
2223,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2224,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2225,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
2226,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2227,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2228,rt shepnewsteam realdonaldtrump blames assad and obamaadmin for attack in syria and tillerson says russia and iran bear great mo,[ 0.89185274  0.10814723],negative
2229,rt kyleworton intl law also died in syria anyone seriously concerned w human rights now understands power matters un is an accomp,[ 0.89185274  0.10814723],negative
2230,rt laloalcaraz trumps buck stops heeeeeeere please rt laloalcaraz cartoon muchos thankyous syria everything httpstcoiqruhzs7eu,[ 0.89185274  0.10814723],negative
2231,"rt peterdaou only evil monsters intentionally use these gruesome weapons let alone against children 
syria httpstcoktlclkloa4",[ 0.89185274  0.10814723],negative
2232,assad crimes syria httpstcoupvuidds8l,[ 0.37677622  0.62322378],positive
2233,rt borisjohnson horrific reports of chemical weapons attack in idlib syria incident must be investigated amp perpetrators held to account,[ 0.89185274  0.10814723],negative
2234,rt trumandem waiting for realdonaldtrump to parachute jaredkushner into syria amp northkorea while watching foxnews for affirmation p,[ 0.89185274  0.10814723],negative
2235,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2236,rt worldonalert idlib the syrian twins ahmad amp aya 9 months old before and after they were gassed by assad today httpstcooqb,[ 0.89185274  0.10814723],negative
2237,rt laloalcaraz trumps buck stops heeeeeeere please rt laloalcaraz cartoon muchos thankyous syria everything httpstcoiqruhzs7eu,[ 0.89185274  0.10814723],negative
2238,check out our news roundup witems on syria mineaction2017 colombia pirates healthcare unfpa and more httpstco3qie6rdz4j,[ 0.49760315  0.50239688],positive
2239,rt soniaarfan have no words and its unbearable to watch the suffering amp loss of syrian human lives syria chemicalweapons chemicalatt,[ 0.89185274  0.10814723],negative
2240,"if you want real stories of chemical weapons being used instead of syria fakenews look no further than clinton
httpstcojn4akrow0t",[ 0.39086604  0.60913396],positive
2241,how putin will win in syria he has already put the us to shame httpstcoxrydafmhja,[ 0.26504993  0.73495007],positive
2242,rt laloalcaraz trumps buck stops heeeeeeere please rt laloalcaraz cartoon muchos thankyous syria everything httpstcoiqruhzs7eu,[ 0.89185274  0.10814723],negative
2243,realdonaldtrump and your response to the chemical attack in syria  crickets  sob treasonoussob saysomething httpstcomc4tbeamie,[ 0.89185274  0.10814723],negative
2244,rt inihelene syria has showed us the true colours of the un eu oic and the arab league,[ 0.89185274  0.10814723],negative
2245,rt hc2016now he is such a ssick man blaming others when this awful tragedy is under his watch syria its time for the 25th amendment ,[ 0.89185274  0.10814723],negative
2246,rt unicef 8yearold hussein from syria lost his leg after a mine exploded but he is determined not to give up on his dreams mineawaren,[ 0.89185274  0.10814723],negative
2247,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2248,leahmcelrath solidarity for syria demand unsc reform please retweetshare httpstcowtrxvlv9hd,[ 0.54849166  0.45150843],negative
2249,"harrytfoster1 
none of the above
i blame the rebels
syria assad",[ 0.26504993  0.73495007],positive
2250,rt ct101st my voice may be quiet in a world of noise stop killing your own people syria httpstcoaajloe0ehj,[ 0.89185274  0.10814723],negative
2251,"rt julianroepcke because we didnt act on syria since 2011 this is happening now
assadgenocide 
putinatwar httpstcoiipufiaag4",[ 0.89185274  0.10814723],negative
2252,rt lindahemby syria syrians caught between a merciless dictator and gulfbacked mercenaries paid to overthrow him  cartoon latuffcart,[ 0.89185274  0.10814723],negative
2253,rt menaburke over 100 now dead in a war crime in syria more mass graves found today in drc  rose from 1023 we are learning nothin,[ 0.89185274  0.10814723],negative
2254,rt maansoursarmad alanfisher redlines syria this is how assad is fighting terrorism chemical weapons httpstco1l84wmjao6,[ 0.89185274  0.10814723],negative
2255,statements from trump and tillerson syria syriachemicalattack httpstcohrtnhgdcci,[ 0.36721578  0.63278425],positive
2256,rt epsom_chinn the only thing for evil to triumph is for good people to stand by syria chemicalwarfare,[ 0.89185274  0.10814723],negative
2257,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2258,rt nia4_trump death toll in syria now reportedly over 100 in 2013 the us backed rebels used sarin gas as a falseflag in attempt to,[ 0.89185274  0.10814723],negative
2259,trumps buck stops heeeeeeere please rt laloalcaraz cartoon muchos thankyous syria everything httpstcoiqruhzs7eu,[ 0.08062018  0.91937983],positive
2260,"rt mintpressnews idlib syria is controlled by alqaeda chemicalweapons

httpstcoxyynb9oscs
httpstcolhupg7dcvg
httpstco",[ 0.89185274  0.10814723],negative
2261,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2262,rt 1994vinyis over 100 killed and 400 injured including children and yet nobody says a word about us terrorism or brings awareness syria,[ 0.89185274  0.10814723],negative
2263,oh allahhelp d oppressed in syria out of this situation assad is killin innocent children and womenoh allah deal with him in your way ,[ 0.20774333  0.79225659],positive
2264,rt qalaatalmudiq syria airstrike on khan sheikhouns civil defense center while hadialabdallah amp moazalshamy were inside stopchemic,[ 0.89185274  0.10814723],negative
2265,when you trust what this guy has to say about syria more than msm httpstcowk93geh2bz,[ 0.40217167  0.59782839],positive
2266,were extremely outraged chemical attacks in idlib syria have killed children amp families dontbombchildren httpstcohrrtpnd8cd,[ 0.40217167  0.59782839],positive
2267,rt radiofreetom this revisionist history about obama being shut down by congress in syria is among the worst kinds of bullshit there is,[ 0.89185274  0.10814723],negative
2268,rt loca2733mc 45 suggested obama not attack syria in 2013 now wants to blame obama on syria youre administration decided to leave ass,[ 0.89185274  0.10814723],negative
2269,reprehensible syria httpstcoylpbqtdmvn,[ 0.89185274  0.10814723],negative
2270,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2271,"rt ahudhayfah syria in the past 24 hours massacres after massacres

idlib damascus hama httpstcon8ccwiuq33",[ 0.89185274  0.10814723],negative
2272,"rt hesammohammad95 bashar used chlorine gas 
at least 58 people have been killed and dozens wounded 
idlib syria khansheikhan iranou",[ 0.89185274  0.10814723],negative
2273,"this is how sherazade a 8yo syrian kid sees her world heartbreaking

syria idomeni humanrights refugees httpstcobkn9ltqjdp",[ 0.08062018  0.91937983],positive
2274,"rt hamletgarcia17 children should never pay for the mistakes of adults syria     
realdonaldtrump revjjackson un usembassysyria bas",[ 0.89185274  0.10814723],negative
2275,rt abdbozkurt erdogan signals fresh military incursions into syria amp iraq says turkeys military ops spoiled amp unmasked antiisil co,[ 0.89185274  0.10814723],negative
2276,rt peterdaou obama isnt president the toughtalkers can show us how they respond to atrocities in syria httpstco1mz1mrsz5x,[ 0.89185274  0.10814723],negative
2277,rt borisjohnson horrific reports of chemical weapons attack in idlib syria incident must be investigated amp perpetrators held to account,[ 0.89185274  0.10814723],negative
2278,rt sophiemcneill reminder just a few weeks ago russia amp china vetoed a un resolution to impose new sanctions on syria over alleged use,[ 0.89185274  0.10814723],negative
2279,rt statedept johnkerry today the last 8 of declared chemical weapons were removed from syria great work done by all involved http,[ 0.89185274  0.10814723],negative
2280,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2281,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2282,al assad must be incriminated for the crimes he has been committing for the last 7 years syria chemicalattack,[ 0.37677622  0.62322378],positive
2283,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2284,"rt spectrestatus3 idgaf about syria your sob stories or gassing little camel kids 

its none of our business and not worth one americ",[ 0.89185274  0.10814723],negative
2285,rt masoud_dalvand khameneii amp assad killing innocent kids in syria all world quiet idlib _ httpstcobvhotzpkkw,[ 0.89185274  0.10814723],negative
2286,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2287,rt alarabiya_eng the disturbing eye witness account of what happened when sarin was dropped in syria  again httpstco98hefm85wk,[ 0.89185274  0.10814723],negative
2288,well if there is any line in the sand moment syria just crossed it realdonaldtrump time to be a potus  httpstco3tgaipqnts,[ 0.40217167  0.59782839],positive
2289,rt joonsgooz un ambassador haley calls assad a war criminal but she may still work with him httpstcoewyzbv7oe0 syria chemicalat,[ 0.89185274  0.10814723],negative
2290,"rt bbcbreaking uk pm theresa_may calls for investigation into suspected chemical attack in idlib syria 

httpstcojyx7wefcn0 https",[ 0.89185274  0.10814723],negative
2291,rt partisangirl orientnews some of the children in the chemical weapons attack appear to have been bludgeoned to death syria httpst,[ 0.89185274  0.10814723],negative
2292,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2293,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2294,rt alarabiya_eng the disturbing eye witness account of what happened when sarin was dropped in syria  again httpstco98hefm85wk,[ 0.89185274  0.10814723],negative
2295,"rt markito0171 syria jisr alshughur town in western idlib province after heavy airstrikes
httpstcocyum9ckkt5",[ 0.89185274  0.10814723],negative
2296,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2297,rt les_politiques 1 there was a staged cw attack in syria in 2013 to frame the gov the gov agreed to give up its stockpile but cw att,[ 0.89185274  0.10814723],negative
2298,rt jonathans_tobin he inherited a mess from obama but trumps russia tilt means unless he acts he owns the syria disaster too https,[ 0.89185274  0.10814723],negative
2299,rt rt_com more france calls for unsc meeting over alleged gas attack in syria httpstcoctagnd2slu httpstcoplganleo5n,[ 0.89185274  0.10814723],negative
2300,khadaffiduck thomaswictor ksouth21 trump wants to make peace with syria and assad it is the media that is us httpstcobqgxagzmjm,[ 0.05424302  0.94575697],positive
2301,utterly speechless at the tragedy unfolding in syria lord come quickly fb,[ 0.25405297  0.74594706],positive
2302,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2303,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2304,the syrian army is playing game sim syria httpstcod1mtfwh3oa,[ 0.08062018  0.91937983],positive
2305,rt ct101st my voice may be quiet in a world of noise stop killing your own people syria httpstcoaajloe0ehj,[ 0.89185274  0.10814723],negative
2306,europarl_fr redlines syria assad used a chemical attack on idlib to kill 100 men women and children httpstcowrybvdaebw,[ 0.46360108  0.53639895],positive
2307,rt unrwa why should you care about palestine refugees in syria these are just a few reasons why futureofsyria syriaconf2017 voice,[ 0.89185274  0.10814723],negative
2308,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2309,"rt bbcbreaking uk pm theresa_may calls for investigation into suspected chemical attack in idlib syria 

httpstcojyx7wefcn0 https",[ 0.89185274  0.10814723],negative
2310,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2311,rt mahdi13203505 in coordination with assad regime hezbollah smuggled huge amounts of chemical weapons from syria amp stored it in n ,[ 0.89185274  0.10814723],negative
2312,"rt dirkz1 trump takes no responsibility

yemen  generals fault
russiancollusion  fake news
healthcare  dems fault
syria  obamas",[ 0.89185274  0.10814723],negative
2313,"rt us_citizen_joe trump would have been spoton had he tweeted this today

idlib syria idlibattack gasattack 

httpstcoami5zcmnm7",[ 0.89185274  0.10814723],negative
2314,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2315,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2316,rt siyavoshkhorami shireenjustice indigochild585 the killing in syria  must be stopped assadwarcrimes syria httpstcomvtmn7jmpa ,[ 0.89185274  0.10814723],negative
2317,rt banwahhabism younus algohars challenge to isis httpstcoh7lzg07t0e isil daesh islamicstate iraq syria libya yemen donald,[ 0.89185274  0.10814723],negative
2318,i pray for a miracle to happen in syria to stop the war  and bring peace bsharusingchemicalweapons syriachemicalattack godbewiththem,[ 0.39086604  0.60913396],positive
2319,trump where is the tweet condemning assad amp putin you despicable piece of human waste my is with the people i httpstcolmggpamzbp,[ 0.08062018  0.91937983],positive
2320,rt extinctmedia im antiwar first trump second and i dont care if i lose followers syria imwithassad falseflag obamawarcrimes l,[ 0.89185274  0.10814723],negative
2321,"rt free_media_hub assad to the hague 
petition click to add your name httpstcofhgwuyukal syria httpstcog9adkolcge",[ 0.89185274  0.10814723],negative
2322,rt nabilabisaab us amb nikki haley says meeting on chemical attack in syria is scheduled for tomorrow 10 am khansheikon,[ 0.89185274  0.10814723],negative
2323,rt worldonalert idlib the syrian twins ahmad amp aya 9 months old before and after they were gassed by assad today httpstcooqb,[ 0.89185274  0.10814723],negative
2324,rt pamshumate cnn msnbc how ironic that realdonaldtrump blamed syria on barackobama but tweeted this to him forget syria http,[ 0.89185274  0.10814723],negative
2325,rt youranoncentral requiem for syria the revolution explained  by stimulator  httpstcoiascp01yvl,[ 0.89185274  0.10814723],negative
2326,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2327,rt timand2037 however many war_propaganda lies are exposed there is always the next one dirty war on syria httpstco3icr2ga2zs,[ 0.89185274  0.10814723],negative
2328,rt snarwani iraq breaks up al qaeda chemical weapons cell including sarin nerve gas httpstcoweonezj3vz syria,[ 0.89185274  0.10814723],negative
2329,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2330,rt doamuslims syria  children victims of assads warplanes today in besieged douma damascus httpstcodmj0qvesty,[ 0.89185274  0.10814723],negative
2331,"rt peterdaou only evil monsters intentionally use these gruesome weapons let alone against children 
syria httpstcoktlclkloa4",[ 0.89185274  0.10814723],negative
2332,rt miketheidealist during genocide awareness and prevention month to see continued crimesagainsthumanity amp warcrimes in syria with no,[ 0.89185274  0.10814723],negative
2333,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2334,this world we live in makes me ache syria,[ 0.08062018  0.91937983],positive
2335,rt peterdaou obamas syria policy wasnt perfect but for the trump administration to blame him for an atrocity like this is beyond repr,[ 0.89185274  0.10814723],negative
2336,the counterterrorism campaign in syria is fake dark state manipulations barriers to peace httpstcoznvihroa0o syria russia,[ 0.08062018  0.91937983],positive
2337,syria  morality amp ethic govern our asylums control over weapons capable of human extinction  now the inmates are in charge trumpleaks,[ 0.36721578  0.63278425],positive
2338,rt nrt_english chemical attack in idlib came from the air un syria envoy says  httpstcog3yonfthxh nrtnews httpstco5tpp0mk,[ 0.89185274  0.10814723],negative
2339,rt meljenp syria chaos in front of whitehelmets headquarter in khan sheikun idlib after airstrike sarin toxic gas httpstcouopjos,[ 0.89185274  0.10814723],negative
2340,amy_siskind such a disgrace this is why we must unite in solidarity for syria httpstcowtrxvlv9hd,[ 0.37677622  0.62322378],positive
2341,rt sakirkhader syria at least 80 civilians killed in multiple russian and regime airstrikes across rebelheld parts of damascus and idl,[ 0.89185274  0.10814723],negative
2342,"rt malinka1102 shoebridgec watch the source of this gas attack same jihadi doctor amp bellingcat 
syria httpstcoyuwea",[ 0.89185274  0.10814723],negative
2343,"rt jack62448376 darrenf52613413
intlcrimcourt syria excruciatingly painful children and others were gassed by assad 04042017 https",[ 0.89185274  0.10814723],negative
2344,rt johnkasich gov john kasich statement on the attack in syria httpstcorgxsijimxf,[ 0.89185274  0.10814723],negative
2345,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2346,rt evan_mcmullin when free world leaders turn a blind eye to human rights tyrants accelerate their unspeakable atrocities syria https,[ 0.89185274  0.10814723],negative
2347,trump hurls blame when his cronies blocked obamas call for action over syria in the senate redline httpstcod6yonjk2be,[ 0.08062018  0.91937983],positive
